,Name,Record,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_inch,Stance,Debut,SLpM,StrAcc,SApM,StrDef,TD_Avg,TD_Acc,TD_Def,Sub_Avg
1679,Artem Lobov,Record: 13-15-1 (1 NC),13.0,15.0,1.0,175.26213118751525,145.0,65.0,Southpaw,1986.0,3.52,0.41,4.82,0.5,0.39,0.25,0.52,0.0
1680,Mike van Arsdale,Record: 8-5-0,8.0,5.0,0.0,187.96228562139316,205.0,,Switch,1965.0,1.52,0.41,1.91,0.41,1.06,0.14,0.37,0.0
1681,Alex Serdyukov,Record: 8-5-0,8.0,5.0,0.0,187.96228562139316,170.0,74.0,Orthodox,1980.0,4.94,0.48,3.1,0.46,1.84,0.55,0.67,1.8
1682,Don Frye,Record: 20-9-1 (1 NC),20.0,9.0,1.0,185.42225473461758,219.0,,Orthodox,1965.0,2.87,0.64,3.57,0.37,0.91,0.57,0.45,0.7
1683,Paulo Filho,Record: 23-6-3,23.0,6.0,3.0,172.72210030073967,185.0,,Southpaw,1978.0,1.86,0.48,1.67,0.66,2.4,0.32,0.42,1.6
1684,Stevie Ray,Record: 23-9-0,23.0,9.0,0.0,177.80216207429083,155.0,70.0,Southpaw,1990.0,3.73,0.44,2.93,0.54,0.75,0.46,0.55,0.6
1685,Diego Nunes,Record: 19-7-0,19.0,7.0,0.0,167.6420385271885,145.0,67.0,Orthodox,1982.0,2.72,0.43,2.59,0.58,1.18,0.44,0.65,0.6
1686,Tateki Matsuda,Record: 13-8-0,13.0,8.0,0.0,170.1820694139641,125.0,,Orthodox,1986.0,3.2,0.34,3.43,0.69,0.0,0.0,0.16,0.0
1687,Martin Kampmann,Record: 20-7-0,20.0,7.0,0.0,182.882223847842,170.0,72.0,Orthodox,1982.0,3.22,0.42,3.28,0.62,1.86,0.41,0.78,2.0
1688,Rodolfo Marques Diniz,Record: 23-9-1,23.0,9.0,1.0,167.6420385271885,135.0,,,1984.0,1.08,0.32,2.36,0.33,0.0,0.0,0.5,1.8
1689,Gabriel Carrasco,Record: 7-0-0,7.0,0.0,0.0,167.6420385271885,135.0,,,,4.15,0.37,1.53,0.8,0.0,0.0,1.0,0.0
1690,Derrick Noble,Record: 27-15-1,27.0,15.0,1.0,175.26213118751525,170.0,,Southpaw,1978.0,6.21,0.4,3.79,0.59,0.0,0.0,0.0,0.0
1691,Mostapha Al-Turk,Record: 6-6-0,6.0,6.0,0.0,187.96228562139316,245.0,77.0,Orthodox,1973.0,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0
1692,Nick Barnes,Record: 11-2-0,11.0,2.0,0.0,180.34219296106642,170.0,,,,2.86,0.29,8.93,0.51,5.36,1.0,1.0,5.4
1693,Sheldon Westcott,Record: 10-3-1,10.0,3.0,1.0,185.42225473461758,170.0,71.0,Southpaw,1984.0,2.26,0.4,3.73,0.37,3.23,0.37,0.14,0.0
1694,Jesse Bongfeldt,Record: 16-5-1,16.0,5.0,1.0,182.882223847842,185.0,,Orthodox,1980.0,2.91,0.62,1.01,0.5,1.51,0.33,0.33,0.0
1695,Alexander Sarnavskiy,Record: 35-6-0,35.0,6.0,0.0,180.34219296106642,155.0,,,1989.0,1.43,0.66,2.06,0.42,0.0,0.0,0.75,0.0
1696,Danny Sabatello,Record: 9-1-0,9.0,1.0,0.0,177.80216207429083,135.0,71.0,Orthodox,1993.0,2.07,0.57,0.2,0.25,3.0,0.75,1.0,1.0
1697,James Barnes,Record: 7-2-0,7.0,2.0,0.0,172.72210030073967,145.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1698,Scott Baker,Record: 1-1-0,1.0,1.0,0.0,182.882223847842,210.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1699,Marco Polo Reyes,Record: 8-7-0,8.0,7.0,0.0,180.34219296106642,155.0,71.0,Orthodox,1984.0,6.0,0.37,5.52,0.59,0.0,0.0,0.46,0.0
1700,Luigi Fioravanti,Record: 26-15-0,26.0,15.0,0.0,172.72210030073967,170.0,70.0,Orthodox,1981.0,2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9
1701,Dean Barry,Record: 3-1-0,3.0,1.0,0.0,,155.0,,,1992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
